ID,ALCANCE,CATEGORÍA,SUBCATEGORÍA,FUENTE,UNIDAD - FUENTE,CANTIDAD - FUENTE,EMISIÓN GEI (tCO2e),EMISIÓN GEI (% del total),SEDE,LINK RESPALDO INFORMACIÓN
HDC0011,EMISIONES DIRECTAS,Emisiones directas de GEI,Combustión Móvil,Medio terrestre - Petróleo 2 (Diesel),metros cúbicos,13.81,37.8361,0.34%,TALCA,cifras energía y comunidad.xlsx
HDC0012,EMISIONES DIRECTAS,Emisiones directas de GEI,Combustión Móvil,Medio terrestre - Gasolina,metros cúbicos,1.31,3.0165,0.03%,TALCA,cifras energía y comunidad.xlsx
HDC0013,EMISIONES DIRECTAS,Emisiones directas de GEI,Combustión Estacionaria,Generador - Petróleo 2 (Diesel),metros cúbicos,3.5,9.4867,0.09%,TALCA,cifras energía y comunidad.xlsx
HDC0014,EMISIONES DIRECTAS,Emisiones directas de GEI,Combustión Estacionaria,General - Gas licuado de petróleo,metros cúbicos,28.56,45.2309,0.41%,TALCA,cifras energía y comunidad.xlsx
HDC0015,EMISIONES DIRECTAS,Emisiones directas de GEI,Combustión Estacionaria,General - Gas licuado de petróleo,metros cúbicos,8.82,13.97,0.13%,CURICÓ,cifras energía y comunidad.xlsx
HDC0016,EMISIONES DIRECTAS,Emisiones directas de GEI,Combustión Estacionaria,General - Gas licuado de petróleo,metros cúbicos,7.62,12.0632,0.11%,LINARES,cifras energía y comunidad.xlsx
HDC0017,EMISIONES DIRECTAS,Emisiones directas de GEI,Combustión Estacionaria,General - Gas licuado de petróleo,metros cúbicos,1.86,2.9489,0.03%,SANTIAGO,cifras energía y comunidad.xlsx
HDC0018,EMISIONES DIRECTAS,Emisiones fugitivas,Refrigerante,Montreal - HCFC-22/R22,kilogramos,32,57.92,0.53%,TALCA,cifras energía y comunidad.xlsx
HDC0019,EMISIONES DIRECTAS,Emisiones fugitivas,Refrigerante,R410A - R410A,kilogramos,209,402.0115,3.65%,TALCA,cifras energía y comunidad.xlsx
HDC0020,EMISIONES INDIRECTAS POR CONSUMO Y DISTRIBUCIÓN DE ENERGÍA,Emisiones indirectas de GEI por electricidad importada,Adquisición de electricidad,Sistema Eléctrico Nacional - Sistema Eléctrico Nacional,MWh,5784.31,1738.7639,15.80%,TALCA,"consumos energ¡a, agua y residuos reciclaje.docx"
HDC0021,EMISIONES INDIRECTAS POR CONSUMO Y DISTRIBUCIÓN DE ENERGÍA,Emisiones indirectas de GEI por electricidad importada,Adquisición de electricidad,Sistema Eléctrico Nacional - Sistema Eléctrico Nacional,MWh,901.69,271.0471,2.46%,CURICÓ,"consumos energ¡a, agua y residuos reciclaje.docx"
HDC0022,EMISIONES INDIRECTAS POR CONSUMO Y DISTRIBUCIÓN DE ENERGÍA,Emisiones indirectas de GEI por electricidad importada,Adquisición de electricidad,Sistema Eléctrico Nacional - Sistema Eléctrico Nacional,MWh,219.75,66.0556,0.60%,SANTIAGO,"consumos energ¡a, agua y residuos reciclaje.docx"
HDC0023,EMISIONES INDIRECTAS POR CONSUMO Y DISTRIBUCIÓN DE ENERGÍA,Emisiones indirectas de GEI por electricidad importada,Adquisición de electricidad,Sistema Eléctrico Nacional - Sistema Eléctrico Nacional,MWh,63.63,19.1272,0.17%,COLCHAGUA,"consumos energ¡a, agua y residuos reciclaje.docx"
HDC0024,EMISIONES INDIRECTAS POR CONSUMO Y DISTRIBUCIÓN DE ENERGÍA,Emisiones indirectas de GEI por electricidad importada,Adquisición de electricidad,Sistema Eléctrico Nacional - Sistema Eléctrico Nacional,MWh,223.2,67.0939,0.61%,LINARES,"consumos energ¡a, agua y residuos reciclaje.docx"
HDC0025,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Viajes de negocios - Terrestre - Bus interurbano (aprox. 45 pers.),personas x kilómetros,941,0.0207,0.00%,CURICÓ,Reporte cometidos nacionales 2022.XLSX
HDC0026,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Viajes de negocios - Terrestre - Bus interurbano (aprox. 45 pers.),personas x kilómetros,2879,0.0633,0.00%,LINARES,Reporte cometidos nacionales 2022.XLSX
HDC0027,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Viajes de negocios - Terrestre - Bus interurbano (aprox. 45 pers.),personas x kilómetros,3713,0.0817,0.00%,SANTIAGO,Reporte cometidos nacionales 2022.XLSX
HDC0028,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Viajes de negocios - Terrestre - Bus interurbano (aprox. 45 pers.),personas x kilómetros,"55,941.00",1.2307,0.01%,TALCA,Reporte cometidos nacionales 2022.XLSX
HDC0029,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Viajes de negocios - Terrestre - Vehículo particular - gasolina,personas x kilómetros,23556,4.5228,0.04%,COLCHAGUA,Reporte cometidos nacionales 2022.XLSX
HDC0030,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Viajes de negocios - Terrestre - Vehículo particular - gasolina,personas x kilómetros,"97,961.00",18.8085,0.17%,CURICÓ,Reporte cometidos nacionales 2022.XLSX
HDC0031,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Viajes de negocios - Terrestre - Vehículo particular - gasolina,personas x kilómetros,20721,3.9784,0.04%,LINARES,Reporte cometidos nacionales 2022.XLSX
HDC0032,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Viajes de negocios - Terrestre - Vehículo particular - gasolina,personas x kilómetros,13794,2.6484,0.02%,SANTIAGO,Reporte cometidos nacionales 2022.XLSX
HDC0033,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Viajes de negocios - Terrestre - Vehículo particular - gasolina,personas x kilómetros,"797,962.00",153.2087,1.39%,TALCA,Reporte cometidos nacionales 2022.XLSX
HDC0034,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Viajes de negocios - Aéreo - Avión trayecto internacional (promedio),personas x kilómetros,87340,16.0706,0.15%,COLCHAGUA,internacionalizacion viajes estud extranjero.xlsx
HDC0035,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Viajes de negocios - Aéreo - Avión trayecto internacional (promedio),personas x kilómetros,"402,876.00",74.1292,0.67%,CURICÓ,internacionalizacion viajes estud extranjero.xlsx
HDC0036,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Viajes de negocios - Aéreo - Avión trayecto internacional (promedio),personas x kilómetros,148610,27.3442,0.25%,LINARES,internacionalizacion viajes estud extranjero.xlsx
HDC0037,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Viajes de negocios - Aéreo - Avión trayecto internacional (promedio),personas x kilómetros,362896,66.7729,0.61%,SANTIAGO,internacionalizacion viajes estud extranjero.xlsx
HDC0038,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Viajes de negocios - Aéreo - Avión trayecto internacional (promedio),personas x kilómetros,"1,772,056.00",326.0583,2.96%,TALCA,internacionalizacion viajes estud extranjero.xlsx
HDC0039,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Viajes de negocios - Aéreo - Avión trayecto internacional (promedio),personas x kilómetros,"4,009,698.27",737.7845,6.71%,TALCA,cometidos internacionales.xlsx
HDC0040,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Viajes de negocios - Aéreo - Avión trayecto internacional (promedio),personas x kilómetros,"612,864.45",112.7671,1.02%,CURICÓ,cometidos internacionales.xlsx
HDC0041,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Viajes de negocios - Aéreo - Avión trayecto internacional (promedio),personas x kilómetros,312952.1,57.5832,0.52%,SANTIAGO,cometidos internacionales.xlsx
HDC0042,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Viajes de negocios - Aéreo - Avión trayecto internacional (promedio),personas x kilómetros,247753.7,45.5867,0.41%,LINARES,cometidos internacionales.xlsx
HDC0043,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Viajes de negocios - Aéreo - Avión trayecto internacional (promedio),personas x kilómetros,19559.5,3.5989,0.03%,COLCHAGUA,cometidos internacionales.xlsx
HDC0044,OTRAS EMISIONES INDIRECTAS DE GEI,Productos que utiliza la organización,Bienes y servicios adquiridos,Servicios adquiridos - Agua potable: Suministro y tratamiento,metros cúbicos,"160,682.00",67.6471,0.61%,TALCA,"consumos energ¡a, agua y residuos reciclaje.docx"
HDC0045,OTRAS EMISIONES INDIRECTAS DE GEI,Productos que utiliza la organización,Bienes y servicios adquiridos,Servicios adquiridos - Agua potable: Suministro y tratamiento,metros cúbicos,"66,809.00",28.1266,0.26%,CURICÓ,"consumos energ¡a, agua y residuos reciclaje.docx"
HDC0046,OTRAS EMISIONES INDIRECTAS DE GEI,Productos que utiliza la organización,Bienes y servicios adquiridos,Servicios adquiridos - Agua potable: Suministro y tratamiento,metros cúbicos,7203,3.0325,0.03%,SANTIAGO,"consumos energ¡a, agua y residuos reciclaje.docx"
HDC0047,OTRAS EMISIONES INDIRECTAS DE GEI,Productos que utiliza la organización,Bienes y servicios adquiridos,Servicios adquiridos - Agua potable: Suministro y tratamiento,metros cúbicos,1076,0.453,0.00%,COLCHAGUA,"consumos energ¡a, agua y residuos reciclaje.docx"
HDC0048,OTRAS EMISIONES INDIRECTAS DE GEI,Productos que utiliza la organización,Bienes y servicios adquiridos,Servicios adquiridos - Agua potable: Suministro y tratamiento,metros cúbicos,2382,1.0028,0.01%,LINARES,"consumos energ¡a, agua y residuos reciclaje.docx"
HDC0049,OTRAS EMISIONES INDIRECTAS DE GEI,Productos que utiliza la organización,Tratamiento y/o disposición de residuos,Relleno sanitario - Residuos municipales,toneladas,172.48,76.9613,0.70%,TALCA,Estimación Residuos UTAL 2022
HDC0050,OTRAS EMISIONES INDIRECTAS DE GEI,Productos que utiliza la organización,Tratamiento y/o disposición de residuos,Relleno sanitario - Residuos municipales,toneladas,55.94,24.9607,0.23%,CURICÓ,Estimación Residuos UTAL 2022
HDC0051,OTRAS EMISIONES INDIRECTAS DE GEI,Productos que utiliza la organización,Tratamiento y/o disposición de residuos,Relleno sanitario - Residuos municipales,toneladas,19.94,8.8973,0.08%,SANTIAGO,Estimación Residuos UTAL 2022
HDC0052,OTRAS EMISIONES INDIRECTAS DE GEI,Productos que utiliza la organización,Tratamiento y/o disposición de residuos,Relleno sanitario - Residuos municipales,toneladas,9.18,4.0962,0.04%,LINARES,Estimación Residuos UTAL 2022
HDC0053,OTRAS EMISIONES INDIRECTAS DE GEI,Productos que utiliza la organización,Tratamiento y/o disposición de residuos,Relleno sanitario - Residuos municipales,toneladas,5.07,2.2623,0.02%,COLCHAGUA,Estimación Residuos UTAL 2022
HDC0054,OTRAS EMISIONES INDIRECTAS DE GEI,Productos que utiliza la organización,Tratamiento y/o disposición de residuos,Reciclaje - Vidrio,toneladas,0.8,0.017,0.00%,TALCA,Estimación Residuos UTAL 2022
HDC0055,OTRAS EMISIONES INDIRECTAS DE GEI,Productos que utiliza la organización,Tratamiento y/o disposición de residuos,Reciclaje - Metal: latas de aluminio y papel de aluminio,toneladas,0.2,0.0043,0.00%,TALCA,Estimación Residuos UTAL 2022
HDC0056,OTRAS EMISIONES INDIRECTAS DE GEI,Productos que utiliza la organización,Tratamiento y/o disposición de residuos,Reciclaje - Papel y cartón,toneladas,8.9,0.1894,0.00%,TALCA,Estimación Residuos UTAL 2022
HDC0057,OTRAS EMISIONES INDIRECTAS DE GEI,Productos que utiliza la organización,Bienes y servicios adquiridos,Bienes adquiridos - Papel,toneladas,9.68,8.8998,0.08%,TALCA,resmas_cuenta anual 2022.xlsx
HDC0058,OTRAS EMISIONES INDIRECTAS DE GEI,Productos que utiliza la organización,Bienes y servicios adquiridos,Bienes adquiridos - Papel,toneladas,2.37,2.179,0.02%,CURICÓ,resmas_cuenta anual 2022.xlsx
HDC0059,OTRAS EMISIONES INDIRECTAS DE GEI,Productos que utiliza la organización,Bienes y servicios adquiridos,Bienes adquiridos - Papel,toneladas,0.87,0.7999,0.01%,SANTIAGO,resmas_cuenta anual 2022.xlsx
HDC0060,OTRAS EMISIONES INDIRECTAS DE GEI,Productos que utiliza la organización,Bienes y servicios adquiridos,Bienes adquiridos - Papel,toneladas,0.37,0.3402,0.00%,LINARES,resmas_cuenta anual 2022.xlsx
HDC0061,OTRAS EMISIONES INDIRECTAS DE GEI,Productos que utiliza la organización,Bienes y servicios adquiridos,Bienes adquiridos - Papel,toneladas,0.21,0.1931,0.00%,COLCHAGUA,resmas_cuenta anual 2022.xlsx
HDC0062,OTRAS EMISIONES INDIRECTAS DE GEI,Productos que utiliza la organización,Bienes y servicios adquiridos,Bienes adquiridos - Petróleo 2 (Diesel),litros,442,0.278,0.00%,LINARES,cifras energía y comunidad.xlsx
HDC0063,OTRAS EMISIONES INDIRECTAS DE GEI,Productos que utiliza la organización,Bienes y servicios adquiridos,Bienes adquiridos - Petróleo 2 (Diesel),litros,"2,232.00",1.4039,0.01%,CURICÓ,cifras energía y comunidad.xlsx
HDC0064,OTRAS EMISIONES INDIRECTAS DE GEI,Productos que utiliza la organización,Bienes y servicios adquiridos,Bienes adquiridos - Petróleo 2 (Diesel),litros,"13,808.00",8.6852,0.08%,TALCA,cifras energía y comunidad.xlsx
HDC0065,OTRAS EMISIONES INDIRECTAS DE GEI,Productos que utiliza la organización,Bienes y servicios adquiridos,Bienes adquiridos - Gasolina,litros,"1,308.00",0.828,0.01%,TALCA,cifras energía y comunidad.xlsx
HDC0067,OTRAS EMISIONES INDIRECTAS DE GEI,Productos que utiliza la organización,Bienes y servicios adquiridos,Bienes adquiridos - Gas licuado de petróleo,litros,"28,560.00",5.255,0.05%,TALCA,cifras energía y comunidad.xlsx
HDC0068,OTRAS EMISIONES INDIRECTAS DE GEI,Productos que utiliza la organización,Bienes y servicios adquiridos,Bienes adquiridos - Gas licuado de petróleo,litros,"8,821.00",1.6231,0.01%,CURICÓ,cifras energía y comunidad.xlsx
HDC0069,OTRAS EMISIONES INDIRECTAS DE GEI,Productos que utiliza la organización,Bienes y servicios adquiridos,Bienes adquiridos - Gas licuado de petróleo,litros,7617,1.4015,0.01%,LINARES,cifras energía y comunidad.xlsx
HDC0070,OTRAS EMISIONES INDIRECTAS DE GEI,Productos que utiliza la organización,Bienes y servicios adquiridos,Bienes adquiridos - Gas licuado de petróleo,litros,1862,0.3426,0.00%,SANTIAGO,cifras energía y comunidad.xlsx
HDC0071,OTRAS EMISIONES INDIRECTAS DE GEI,Productos que utiliza la organización,Bienes y servicios adquiridos,Bienes adquiridos - Gas licuado de petróleo,litros,"101,840.00",18.7386,0.17%,TALCA,cifras energía y comunidad.xlsx
HDC0072,OTRAS EMISIONES INDIRECTAS DE GEI,Productos que utiliza la organización,Bienes y servicios adquiridos,Bienes adquiridos - Gas licuado de petróleo,litros,"38,007.00",6.9933,0.06%,CURICÓ,cifras energía y comunidad.xlsx
HDC0073,OTRAS EMISIONES INDIRECTAS DE GEI,Productos que utiliza la organización,Bienes y servicios adquiridos,Bienes adquiridos - Gas licuado de petróleo,litros,7423,1.3658,0.01%,COLCHAGUA,cifras energía y comunidad.xlsx
HDC0074,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Vehículo particular - diesel,personas x kilómetros,"1,920,595.00",391.8014,3.56%,CURICÓ,Resultados Encuesta de movilidad 2022.xlsx
HDC0075,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Bicicleta/A pie,personas x kilómetros,"653,240.00",0,0.00%,CURICÓ,Resultados Encuesta de movilidad 2022.xlsx
HDC0076,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Bus local (aprox. 25 pers.),personas x kilómetros,"616,398.00",19.1083,0.17%,CURICÓ,Resultados Encuesta de movilidad 2022.xlsx
HDC0077,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Bus transantiago,personas x kilómetros,"444,018.00",5.7722,0.05%,CURICÓ,Resultados Encuesta de movilidad 2022.xlsx
HDC0078,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Motocicleta,personas x kilómetros,"48,760.00",2.8281,0.03%,CURICÓ,Resultados Encuesta de movilidad 2022.xlsx
HDC0079,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Vehículo particular - gasolina,personas x kilómetros,"196,265.00",37.6829,0.34%,CURICÓ,Resultados Encuesta de movilidad 2022.xlsx
HDC0080,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Bus interurbano (aprox. 45 pers.),personas x kilómetros,"15,063,164.00",331.3896,3.01%,CURICÓ,Resultados Encuesta de movilidad 2022.xlsx
HDC0081,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Taxi,personas x kilómetros,31341,3.6356,0.03%,LINARES,Resultados Encuesta de movilidad 2022.xlsx
HDC0082,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Bicicleta/A pie,personas x kilómetros,0,0,0.00%,LINARES,Resultados Encuesta de movilidad 2022.xlsx
HDC0083,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Bus interurbano (aprox. 45 pers.),personas x kilómetros,450758,9.9167,0.09%,LINARES,Resultados Encuesta de movilidad 2022.xlsx
HDC0084,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Bus transantiago,personas x kilómetros,541355,7.0376,0.06%,LINARES,Resultados Encuesta de movilidad 2022.xlsx
HDC0085,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Colectivo,personas x kilómetros,40698,3.3779,0.03%,LINARES,Resultados Encuesta de movilidad 2022.xlsx
HDC0086,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Vehículo particular - gasolina,personas x kilómetros,"1,813,080.00",348.1114,3.16%,CURICÓ,Resultados Encuesta de movilidad 2022.xlsx
HDC0087,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Vehículo particular - diesel,personas x kilómetros,23183,4.7293,0.04%,SANTIAGO,Resultados Encuesta de movilidad 2022.xlsx
HDC0088,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Bicicleta/A pie,personas x kilómetros,0,0,0.00%,SANTIAGO,Resultados Encuesta de movilidad 2022.xlsx
HDC0089,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Bus interurbano (aprox. 45 pers.),personas x kilómetros,2259450,49.7079,0.45%,SANTIAGO,Resultados Encuesta de movilidad 2022.xlsx
HDC0090,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Metro,personas x kilómetros,421942,23.2068,0.21%,SANTIAGO,Resultados Encuesta de movilidad 2022.xlsx
HDC0091,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Bus local (aprox. 25 pers.),personas x kilómetros,813650,25.2232,0.23%,SANTIAGO,Resultados Encuesta de movilidad 2022.xlsx
HDC0092,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Taxi,personas x kilómetros,10470,1.2145,0.01%,SANTIAGO,Resultados Encuesta de movilidad 2022.xlsx
HDC0093,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Bus transantiago,personas x kilómetros,390874,5.0814,0.05%,SANTIAGO,Resultados Encuesta de movilidad 2022.xlsx
HDC0094,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Vehículo particular - gasolina,personas x kilómetros,500775,96.1488,0.87%,LINARES,Resultados Encuesta de movilidad 2022.xlsx
HDC0095,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Vehículo particular - diesel,personas x kilómetros,"3,271,664.00",667.4195,6.07%,TALCA,Resultados Encuesta de movilidad 2022.xlsx
HDC0096,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Bus interurbano (aprox. 45 pers.),personas x kilómetros,"23,258,608.00",511.6894,4.65%,TALCA,Resultados Encuesta de movilidad 2022.xlsx
HDC0097,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Bus local (aprox. 25 pers.),personas x kilómetros,"4,431,654.00",137.3813,1.25%,TALCA,Resultados Encuesta de movilidad 2022.xlsx
HDC0098,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Bus transantiago,personas x kilómetros,"10,570,261.00",137.4134,1.25%,TALCA,Resultados Encuesta de movilidad 2022.xlsx
HDC0099,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Colectivo,personas x kilómetros,"347,855.00",28.872,0.26%,TALCA,Resultados Encuesta de movilidad 2022.xlsx
HDC0100,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Taxi,personas x kilómetros,"52,261.00",6.0623,0.06%,TALCA,Resultados Encuesta de movilidad 2022.xlsx
HDC0101,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Vehículo particular - diesel,personas x kilómetros,34156,6.9678,0.06%,COLCHAGUA,Resultados Encuesta de movilidad 2022.xlsx
HDC0101,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Motocicleta,personas x kilómetros,"30,317.00",1.7584,0.02%,TALCA,Resultados Encuesta de movilidad 2022.xlsx
HDC0102,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Colectivo,personas x kilómetros,6320,0.5246,0.00%,COLCHAGUA,Resultados Encuesta de movilidad 2022.xlsx
HDC0102,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Bicicleta/A pie,personas x kilómetros,"228,063.00",0,0.00%,TALCA,Resultados Encuesta de movilidad 2022.xlsx
HDC0103,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Vehículo particular - gasolina,personas x kilómetros,889640,170.8109,1.55%,SANTIAGO,Resultados Encuesta de movilidad 2022.xlsx
HDC0103,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Bus interurbano (aprox. 45 pers.),personas x kilómetros,256548,5.6441,0.05%,COLCHAGUA,Resultados Encuesta de movilidad 2022.xlsx
HDC0104,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Taxi,personas x kilómetros,9724,1.128,0.01%,COLCHAGUA,Resultados Encuesta de movilidad 2022.xlsx
HDC0105,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Bus local (aprox. 25 pers.),personas x kilómetros,218999,6.789,0.06%,COLCHAGUA,Resultados Encuesta de movilidad 2022.xlsx
HDC0106,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Motocicleta,personas x kilómetros,141933,8.2321,0.07%,COLCHAGUA,Resultados Encuesta de movilidad 2022.xlsx
HDC0107,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Bus transantiago,personas x kilómetros,152914,1.9879,0.02%,COLCHAGUA,Resultados Encuesta de movilidad 2022.xlsx
HDC0108,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Bicicleta/A pie,personas x kilómetros,9363,0,0.00%,COLCHAGUA,Resultados Encuesta de movilidad 2022.xlsx
HDC0109,OTRAS EMISIONES INDIRECTAS DE GEI,Transporte,Movilización de personas,Traslado diario de personal - Vehículo particular - gasolina,personas x kilómetros,"15,754,373.00",3024.8396,27.49%,TALCA,Resultados Encuesta de movilidad 2022.xlsx
